Open Values
2017-07-07 - 68.7000
2017-07-10 - 69.4600
2017-07-11 - 70.0000
2017-07-12 - 70.6900
2017-07-13 - 71.5000
2017-07-14 - 72.2400
2017-07-17 - 72.8000
2017-07-18 - 73.0900
2017-07-19 - 73.5000
2017-07-20 - 74.1800
2017-07-21 - 73.4500
2017-07-24 - 73.5300
2017-07-25 - 73.8000
2017-07-26 - 74.3400
2017-07-27 - 73.7600
2017-07-28 - 72.6700
2017-07-31 - 73.3000
2017-08-01 - 73.1000
2017-08-02 - 72.5500
2017-08-03 - 72.1900
2017-08-04 - 72.4000
2017-08-07 - 72.8000
2017-08-08 - 72.0900
2017-08-09 - 72.2500
2017-08-10 - 71.9000
2017-08-11 - 71.6100
2017-08-14 - 73.0600
2017-08-15 - 73.5900
2017-08-16 - 73.3400
2017-08-17 - 73.5800
2017-08-18 - 72.2700
2017-08-21 - 72.4700
2017-08-22 - 72.3500
2017-08-23 - 72.9600
2017-08-24 - 72.7400
2017-08-25 - 72.8600
2017-08-28 - 73.0600
2017-08-29 - 72.2500
2017-08-30 - 73.0100
2017-08-31 - 74.0300
2017-09-01 - 74.7100
2017-09-05 - 73.3400
2017-09-06 - 73.7400
2017-09-07 - 73.6800
2017-09-08 - 74.3300
2017-09-11 - 74.3100
2017-09-12 - 74.7600
2017-09-13 - 74.9300
2017-09-14 - 75.0000
2017-09-15 - 74.8300
2017-09-18 - 75.2300
2017-09-19 - 75.2100
2017-09-20 - 75.3500
2017-09-21 - 75.1100
2017-09-22 - 73.9900
2017-09-25 - 74.0900
2017-09-26 - 73.6700
2017-09-27 - 73.5500
2017-09-28 - 73.5400
2017-09-29 - 73.9400
2017-10-02 - 74.7100
2017-10-03 - 74.6700
2017-10-04 - 74.0900
2017-10-05 - 75.2200
2017-10-06 - 75.6700
2017-10-09 - 75.9700
2017-10-10 - 76.3300
2017-10-11 - 76.3600
2017-10-12 - 76.4900
2017-10-13 - 77.5900
2017-10-16 - 77.4200
2017-10-17 - 77.4700
2017-10-18 - 77.6700
2017-10-19 - 77.5700
2017-10-20 - 78.3200
2017-10-23 - 78.9900
2017-10-24 - 78.9000
2017-10-25 - 78.5800
2017-10-26 - 79.2000
2017-10-27 - 84.3700
2017-10-30 - 83.7000
2017-10-31 - 84.3600
2017-11-01 - 83.6800
2017-11-02 - 83.3500
2017-11-03 - 84.0800
2017-11-06 - 84.2000
2017-11-07 - 84.7700
2017-11-08 - 84.1400
2017-11-09 - 84.1100
2017-11-10 - 83.7900
2017-11-13 - 83.6600
2017-11-14 - 83.5000
2017-11-15 - 83.4700
2017-11-16 - 83.1000
2017-11-17 - 83.1200
2017-11-20 - 82.4000
2017-11-21 - 82.7400
2017-11-22 - 83.8300
2017-11-24 - 83.0100
2017-11-27 - 83.3100
High Values
2017-07-07 - 69.8400
2017-07-10 - 70.2500
2017-07-11 - 70.6800
2017-07-12 - 71.2800
2017-07-13 - 72.0399
2017-07-14 - 73.2700
2017-07-17 - 73.4500
2017-07-18 - 73.3900
2017-07-19 - 74.0400
